iter	Logloss
0	0.6876846914
1	0.6811895478
2	0.6757326019
3	0.6699121025
4	0.6648783309
5	0.659038758
6	0.6542874454
7	0.649380716
8	0.6445923709
9	0.6397957105
10	0.6346120513
11	0.6291449472
12	0.6255160557
13	0.6209595927
14	0.6164906534
15	0.6115261464
16	0.6077517392
17	0.6041176185
18	0.5996370637
19	0.5947882834
20	0.5901628987
21	0.5870872669
22	0.5837038019
23	0.5797833646
24	0.5764893521
25	0.5729576711
26	0.5692490138
27	0.5663837904
28	0.5623545272
29	0.5598669159
30	0.5572187445
31	0.5539280752
32	0.5522557805
33	0.5495947934
34	0.546631588
35	0.5447585717
36	0.5416679811
37	0.5386644856
38	0.5357125957
39	0.5324771753
40	0.5295869634
41	0.5268069064
42	0.5237502623
43	0.5210786884
44	0.5194092654
45	0.5166307085
46	0.514729832
47	0.5123273014
48	0.5108921608
49	0.5087260128
50	0.5066099703
51	0.5055103516
52	0.503450458
53	0.5013774486
54	0.4990095503
55	0.4973322836
56	0.4956924353
57	0.4939898373
58	0.4921336656
59	0.4897317351
60	0.4878816069
61	0.4856647963
62	0.4842175687
63	0.4828276902
64	0.4811946569
65	0.4795588375
66	0.4781687019
67	0.4769023081
68	0.4753371678
69	0.4734575507
70	0.4717446659
71	0.4701828689
72	0.4683710591
73	0.4668007326
74	0.4656126901
75	0.4647077068
76	0.4632443203
77	0.4621543456
78	0.4608638635
79	0.4596086995
80	0.4588771349
81	0.4574968574
82	0.4560907342
83	0.4548823753
84	0.4534678941
85	0.4523728617
86	0.4510426039
87	0.4494730489
88	0.4479286537
89	0.4468242345
90	0.4455973593
91	0.4445158712
92	0.4435270502
93	0.4427150769
94	0.4415922701
95	0.4408885656
96	0.4403264764
97	0.4398533253
98	0.4394508962
99	0.4389843887
100	0.4377637285
101	0.4373299245
102	0.4359384601
103	0.4350049308
104	0.4342196175
105	0.433318106
106	0.4323351571
107	0.4316055212
108	0.431226066
109	0.4307685595
110	0.4304194075
111	0.4294379588
112	0.4286455304
113	0.4280008895
114	0.4272688105
115	0.4260573655
116	0.4249990656
117	0.4244629506
118	0.4235200346
119	0.4230091652
120	0.4220883659
121	0.4213346846
122	0.420922783
123	0.4203682803
124	0.4196377443
125	0.419080027
126	0.4186171628
127	0.417792931
128	0.4170427644
129	0.4168317559
130	0.4161262084
131	0.4151188711
132	0.4145290075
133	0.4137872417
134	0.4131704609
135	0.4128310386
136	0.412385019
137	0.4116773284
138	0.4110518895
139	0.4102248288
140	0.4096462807
141	0.4090054116
142	0.4081030428
143	0.4076347351
144	0.4070332559
145	0.4065121426
146	0.4058632154
147	0.4057702911
148	0.4055478385
149	0.4048695939
150	0.4042575279
151	0.4037839911
152	0.4031670817
153	0.4026404392
154	0.4019676809
155	0.4013237685
156	0.4008565324
157	0.4002725837
158	0.4000300718
159	0.3996618892
160	0.399070054
161	0.3987169159
162	0.398426013
163	0.3981268379
164	0.3979911376
165	0.3973176078
166	0.3969407242
167	0.3964590866
168	0.3963040984
169	0.3957432093
170	0.3952835597
171	0.3947757335
172	0.3941320784
173	0.3938434901
174	0.3935007245
175	0.3932189084
176	0.3927915766
177	0.3923318413
178	0.3920932727
179	0.3915737881
180	0.3911660012
181	0.3907539282
182	0.3904371369
183	0.3902761052
184	0.3898744047
185	0.3893622495
186	0.3891322532
187	0.3889835229
188	0.3885044998
